condition,observable,time,value
cond_il6_10,pSTAT1,27.0,0.8565953655485378
cond_il6_10,pSTAT1,28.0,0.8162926418581741
cond_il6_10,pSTAT1,29.0,0.7739548065468248
cond_il6_10,pSTAT1,30.0,0.7305363308409223
cond_il6_10,pSTAT1,31.0,0.6869084696881859
cond_il6_10,pSTAT1,32.0,0.6438284905145255
cond_il6_10,pSTAT1,33.0,0.6019189261721324
cond_il6_10,pSTAT1,34.0,0.5616597666990016
cond_il6_10,pSTAT1,35.0,0.5233934675974059
cond_il6_10,pSTAT1,36.0,0.4873398614436179
cond_il6_10,pSTAT1,37.0,0.4536166373121982
cond_il6_10,pSTAT1,38.0,0.4222612355682723
cond_il6_10,pSTAT1,39.0,0.3932512058901028
cond_il6_10,pSTAT1,40.0,0.36652149961932434
cond_il6_10,pSTAT1,41.0,0.34197828288207766
cond_il6_10,pSTAT1,42.0,0.3195095113582354
cond_il6_10,pSTAT1,43.0,0.29899278410679414
cond_il6_10,pSTAT1,44.0,0.2803010416012163
cond_il6_10,pSTAT1,45.0,0.2633066141487965
cond_il6_10,pSTAT1,46.0,0.24788403422463123
cond_il6_10,pSTAT1,47.0,0.23391193477662395
cond_il6_10,pSTAT1,48.0,0.2212742782866996
cond_il6_10,pSTAT1,49.0,0.20986109897205443
cond_il6_10,pSTAT1,50.0,0.1995688951950074
cond_il6_10,pSTAT1,51.0,0.19030077230737225
cond_il6_10,pSTAT1,52.0,0.18196641058962335
cond_il6_10,pSTAT1,53.0,0.17448191314446815
cond_il6_10,pSTAT1,54.0,0.16776957403251078
cond_il6_10,pSTAT1,55.0,0.16175759609501508
cond_il6_10,pSTAT1,56.0,0.15637977981762968
cond_il6_10,pSTAT1,57.0,0.15157519856239188
cond_il6_10,pSTAT1,58.0,0.14728787100885649
cond_il6_10,pSTAT1,59.0,0.14346643824695596
cond_il6_10,pSTAT1,60.0,0.14006385063700874
cond_il6_10,pSTAT1,61.0,0.13703706751848538
cond_il6_10,pSTAT1,62.0,0.13434677170080567
cond_il6_10,pSTAT1,63.0,0.13195709960979815
cond_il6_10,pSTAT1,64.0,0.12983538734100725
cond_il6_10,pSTAT1,65.0,0.12795193240299024
cond_il6_10,pSTAT1,66.0,0.12627977062700554
cond_il6_10,pSTAT1,67.0,0.1247944675438287
cond_il6_10,pSTAT1,68.0,0.12347392343202535
cond_il6_10,pSTAT1,69.0,0.12229819122089854
cond_il6_10,pSTAT1,70.0,0.12124930640633322
cond_il6_10,pSTAT1,71.0,0.12031112819926884
cond_il6_10,pSTAT1,72.0,0.11946919116994921
cond_il6_10,pSTAT1,73.0,0.11871056670723727
cond_il6_10,pSTAT1,74.0,0.11802373368594263
cond_il6_10,pSTAT1,75.0,0.11739845754548969
cond_il6_10,pSTAT1,76.0,0.11682567780458879
cond_il6_10,pSTAT1,77.0,0.1162974030996769
cond_il6_10,pSTAT1,78.0,0.1158066132510998
cond_il6_10,pSTAT1,79.0,0.11534716838659305
cond_il6_10,pSTAT1,80.0,0.11491372443707025
cond_il6_10,pSTAT1,81.0,0.11450165476808914
cond_il6_10,pSTAT1,82.0,0.11410697766096657
cond_il6_10,pSTAT1,83.0,0.11372628928119095
cond_il6_10,pSTAT1,84.0,0.11335670191920176
cond_il6_10,pSTAT1,85.0,0.11299578715770618
cond_il6_10,pSTAT1,86.0,0.11264152373261857
cond_il6_10,pSTAT1,87.0,0.11229224981768508
cond_il6_10,pSTAT1,88.0,0.11194661946728116
cond_il6_10,pSTAT1,89.0,0.11160356299386033
cond_il6_10,pSTAT1,90.0,0.1112622509969256
cond_il6_10,pSTAT3,0.0,0.0
cond_il6_10,pSTAT3,1.0,0.0031765852528335722
cond_il6_10,pSTAT3,2.0,0.0327180483911337
cond_il6_10,pSTAT3,3.0,0.10702119278104771
cond_il6_10,pSTAT3,4.0,0.21924501338639998
cond_il6_10,pSTAT3,5.0,0.3500797660459519
cond_il6_10,pSTAT3,6.0,0.48144187993176163
cond_il6_10,pSTAT3,7.0,0.6015186309939066
cond_il6_10,pSTAT3,8.0,0.704508245081944
cond_il6_10,pSTAT3,9.0,0.788800697372969
cond_il6_10,pSTAT3,10.0,0.8552435496782629
cond_il6_10,pSTAT3,11.0,0.9059051096741163
cond_il6_10,pSTAT3,12.0,0.9432987527732657
cond_il6_10,pSTAT3,13.0,0.9699335553310795
cond_il6_10,pSTAT3,14.0,0.9880734860309789
cond_il6_10,pSTAT3,15.0,0.9996262951280491
cond_il6_10,pSTAT3,16.0,1.0061132918362297
cond_il6_10,pSTAT3,17.0,1.0086884052118674
cond_il6_10,pSTAT3,18.0,1.0081841346469675
cond_il6_10,pSTAT3,19.0,1.0051681803542212
cond_il6_10,pSTAT3,20.0,0.9999999999963383
cond_il6_10,pSTAT3,21.0,0.9928814608394825
cond_il6_10,pSTAT3,22.0,0.9838996680619271
cond_il6_10,pSTAT3,23.0,0.9730626364067718
cond_il6_10,pSTAT3,24.0,0.9603297832776055
cond_il6_10,pSTAT3,25.0,0.9456394670969438
cond_il6_10,pSTAT3,26.0,0.9289351844427172
cond_il6_10,pSTAT3,27.0,0.9101907461479356
cond_il6_10,pSTAT3,28.0,0.8894330292123592
cond_il6_10,pSTAT3,29.0,0.8667592576509737
cond_il6_10,pSTAT3,30.0,0.8423450111614439
cond_il6_10,pSTAT3,31.0,0.8164400964279289
cond_il6_10,pSTAT3,32.0,0.7893521947900869
cond_il6_10,pSTAT3,33.0,0.7614218086121807
cond_il6_10,pSTAT3,34.0,0.732994607203588
cond_il6_10,pSTAT3,35.0,0.7043973804334528
cond_il6_10,pSTAT3,36.0,0.6759215432003842
cond_il6_10,pSTAT3,37.0,0.6478149897133656
cond_il6_10,pSTAT3,38.0,0.6202807199568632
cond_il6_10,pSTAT3,39.0,0.5934797432263018
cond_il6_10,pSTAT3,40.0,0.5675360094796955
cond_il6_10,pSTAT3,41.0,0.5425418533928975
cond_il6_10,pSTAT3,42.0,0.5185631463494119
cond_il6_10,pSTAT3,43.0,0.49564383520334776
cond_il6_10,pSTAT3,44.0,0.4738098075363457
cond_il6_10,pSTAT3,45.0,0.4530721362118793
cond_il6_10,pSTAT3,46.0,0.43342979082162897
cond_il6_10,pSTAT3,47.0,0.4148719042313523
cond_il6_10,pSTAT3,48.0,0.3973796714354481
cond_il6_10,pSTAT3,49.0,0.3809279440000665
cond_il6_10,pSTAT3,50.0,0.36548657233656145
cond_il6_10,pSTAT3,51.0,0.3510215372340782
cond_il6_10,pSTAT3,52.0,0.3374959047082423
cond_il6_10,pSTAT3,53.0,0.32487063190615967
cond_il6_10,pSTAT3,54.0,0.3131052469385428
cond_il6_10,pSTAT3,55.0,0.30215842159514156
cond_il6_10,pSTAT3,56.0,0.2919884527860492
cond_il6_10,pSTAT3,57.0,0.2825536659792371
cond_il6_10,pSTAT3,58.0,0.27381275178465925
cond_il6_10,pSTAT3,59.0,0.2657250453767772
cond_il6_10,pSTAT3,60.0,0.25825075610934556
cond_il6_10,pSTAT3,61.0,0.2513511549359918
cond_il6_10,pSTAT3,62.0,0.24498872480848807
cond_il6_10,pSTAT3,63.0,0.23912727928051103
cond_il6_10,pSTAT3,64.0,0.23373205343592607
cond_il6_10,pSTAT3,65.0,0.22876977082284722
cond_il6_10,pSTAT3,66.0,0.22420868954213247
cond_il6_10,pSTAT3,67.0,0.22001863024073326
cond_il6_10,pSTAT3,68.0,0.2161709884129582
cond_il6_10,pSTAT3,69.0,0.21263873311746387
cond_il6_10,pSTAT3,70.0,0.20939639400935234
cond_il6_10,pSTAT3,71.0,0.2064200383515005
cond_il6_10,pSTAT3,72.0,0.20368723950518544
cond_il6_10,pSTAT3,73.0,0.2011770382521357
cond_il6_10,pSTAT3,74.0,0.19886989816113074
cond_il6_10,pSTAT3,75.0,0.19674765621592652
cond_il6_10,pSTAT3,76.0,0.19479346939091066
cond_il6_10,pSTAT3,77.0,0.19299175837604973
cond_il6_10,pSTAT3,78.0,0.19132814924054586
cond_il6_10,pSTAT3,79.0,0.18978941354813667
cond_il6_10,pSTAT3,80.0,0.18836340776066698
cond_il6_10,pSTAT3,81.0,0.18703901243469875
cond_il6_10,pSTAT3,82.0,0.18580607170841426
cond_il6_10,pSTAT3,83.0,0.1846553335369778
cond_il6_10,pSTAT3,84.0,0.18357839105121146
cond_il6_10,pSTAT3,85.0,0.18256762535308263
cond_il6_10,pSTAT3,86.0,0.1816161500239801
cond_il6_10,pSTAT3,87.0,0.18071775756272307
